tconst,titleType,primaryTitle,originalTitle,isAdult,startYear,endYear,runtimeMinutes,genres,averageRating,numVotes
tt23555256,movie,Legions,Legions,0,2022,\N,88,"Comedy,Fantasy,Horror",4.5,329
tt23556594,movie,Faati Ne?,Faati Ne?,0,2025,\N,166,"Comedy,Horror",8.5,434
tt2355741,movie,Nightmare of the Living Dead,Nightmare of the Living Dead,0,1998,\N,78,Horror,3.7,16
tt2355903,movie,The Mommy Returns,The Mommy Returns,0,2012,\N,105,"Comedy,Horror",5.5,35
tt2355913,movie,The Tale of the Voodoo Prostitute,The Tale of the Voodoo Prostitute,0,2012,\N,75,Horror,3.3,75
tt23563872,movie,Alem-i Cin 4,Alem-i Cin 4,0,2023,\N,\N,Horror,3.1,37
tt23564480,movie,Iblis Karanligin Sahibi 2,Iblis Karanligin Sahibi 2,0,2023,\N,\N,Horror,4.2,7
tt2356500,movie,An American Terror,An American Terror,0,2014,\N,85,"Drama,Horror,Mystery",4.1,577
tt2356526,movie,The Watchers,The Watchers,0,2013,\N,120,"Horror,Mystery,Thriller",5.2,73
tt23571868,movie,The Devil Comes at Night,The Devil Comes at Night,0,2023,\N,80,Horror,4.7,406
tt23572542,movie,My Animal,My Animal,0,2023,\N,104,"Horror,Romance",4.7,1001
tt2357319,movie,Shade and Shadow,Shade and Shadow,0,2004,\N,118,"Comedy,Horror,Mystery",7.8,12
tt23576328,movie,Legend of Paul Pry,Legend of Paul Pry,0,2022,\N,\N,Horror,3.4,18
tt2357866,movie,Axeman,Axeman at Cutter's Creek,0,2013,\N,103,Horror,3.2,329
tt2358806,movie,AS: VS Back in Business,AS:VS Back in Business,0,2015,\N,106,"Comedy,Horror",4.5,326
tt2358937,movie,Cannibal Diner,Cannibal Diner,0,2012,\N,75,"Horror,Mystery,Thriller",2.2,635
tt2358985,movie,Death Is No Escape,Death Is No Escape,0,2012,\N,99,"Fantasy,Horror,Mystery",7.0,28
tt2359082,movie,Dust Box,Dust Box,0,2012,\N,72,"Drama,Horror",5.7,48
tt2359103,movie,Leila's Dream,Khab-e Leila,0,2010,\N,\N,Horror,4.3,67
tt2359241,movie,Possession,Possession,0,2012,\N,80,Horror,5.7,37
tt2359347,movie,The Black Dahlia Haunting,The Black Dahlia Haunting,0,2012,\N,80,"Crime,Drama,Horror",3.4,870
tt2359358,movie,Black Forest,Black Forest,0,2015,\N,\N,Horror,4.6,32
tt2359924,movie,The Poison,Asirapis,0,2002,\N,88,"Fantasy,Horror",5.4,8
tt2360114,movie,Schoolgirl Apocalypse,Sêrâ-fuku mokushiroku,0,2011,\N,86,Horror,5.4,154
tt2360430,movie,RiffTrax Live: Birdemic - Shock and Terror,RiffTrax Live: Birdemic - Shock and Terror,0,2012,\N,110,"Comedy,Horror",7.9,563
tt2360586,movie,Haunting in New England,Provoked,0,2016,\N,76,Horror,2.7,340
tt2361237,movie,Fetish Dolls Die Laughing,Fetish Dolls Die Laughing,0,2012,\N,100,"Comedy,Fantasy,Horror",1.6,209
tt2361551,movie,The Zombie Movie,The Zombie Movie,0,2014,\N,\N,"Action,Comedy,Horror",4.7,66
tt2362036,movie,Daylight,Daylight,0,2013,\N,97,"Horror,Mystery,Thriller",3.9,566
tt23625162,movie,The Nexus,The Nexus,0,2024,\N,\N,Horror,6.4,23
tt2363070,movie,Night of the Living Heads,Night of the Living Heads,0,2010,\N,86,Horror,3.2,31
tt2363101,movie,Corazón azul,Corazón azul,0,2021,\N,103,"Drama,Horror,Sci-Fi",6.6,52
tt2363119,movie,Camera Phone,Camera Phone,0,2012,\N,80,Horror,2.8,92
tt2363181,movie,Alpha Alert,Event 15,0,2013,\N,84,"Crime,Drama,Horror",4.7,1261
tt23632748,movie,Dead Slate: Beginnings,Dead Slate: Beginnings,0,2022,\N,93,Horror,9.4,35
tt23633006,movie,Sweet Relief,Sweet Relief,0,2023,\N,87,Horror,6.1,8
tt2363439,movie,The Frozen,The Frozen,0,2012,\N,95,"Drama,Horror,Thriller",4.3,1811
tt2363449,movie,The House Across the Street,The House Across the Street,0,2013,\N,93,"Horror,Thriller",3.2,288
tt2363461,movie,The Pyramid,The Pyramid,0,2013,\N,90,Horror,3.8,154
tt2363481,movie,Dysmorphia,Dysmorphia,0,2014,\N,88,"Comedy,Horror,Sci-Fi",3.6,138
tt2363483,movie,Turbines,Turbines,0,2019,\N,84,"Horror,Thriller",2.5,182
tt2363518,movie,Varsity Blood,Varsity Blood,0,2014,\N,87,"Horror,Thriller",3.6,618
tt23635346,movie,Livescream,Livescream,0,2022,\N,77,Horror,4.5,209
tt23639088,movie,The Apocalypse Box,The Apocalypse Box,0,2024,\N,86,"Horror,Mystery,Thriller",3.3,235
tt23639696,movie,Drive Back,Drive Back,0,2024,\N,94,"Action,Horror,Mystery",4.7,282
tt23640302,movie,The Fifth Thoracic Vertebra,The Fifth Thoracic Vertebra,0,2022,\N,62,"Drama,Fantasy,Horror",6.0,90
tt23642478,movie,The Twisted Ones,The Twisted Ones,0,2022,\N,85,"Animation,Horror",7.7,15
tt23642744,movie,Night of the Hunted,Night of the Hunted,0,2023,\N,95,"Crime,Drama,Horror",5.3,4723
tt2364412,movie,Scary Larry,Scary Larry,0,2014,\N,\N,"Horror,Thriller",7.0,25
tt23644572,movie,Immersion,Immersion,0,2023,\N,109,Horror,4.6,203
tt2364606,movie,Amorosa: The Revenge,Amorosa: The Revenge,0,2012,\N,105,"Drama,Horror",5.1,166
tt2364653,movie,Eyam,Eyam,0,2012,\N,107,"Drama,Horror,Mystery",5.0,8
tt2364673,movie,Frankenstein Created Bikers,Frankenstein Created Bikers,0,2016,\N,125,"Action,Crime,Horror",5.1,946
tt2364690,movie,Ekimmu: The Dead Lust,Ekimmu: The Dead Lust,0,2017,\N,79,"Horror,Thriller",4.7,43
tt2364774,movie,Kill or Be Killed,Kill or Be Killed,0,2015,\N,103,"Horror,Mystery,Thriller",4.2,1158
tt23648404,movie,Dark Match,Dark Match,0,2024,\N,94,"Action,Horror",5.6,768
tt2364842,movie,The Ouija Experiment,The Ouija Experiment,0,2011,\N,92,Horror,3.2,3490
tt23648776,movie,Head on a Plate,Head on a Plate,0,2023,\N,82,"Horror,Sci-Fi",1.7,169
tt2364897,movie,The Disappointments Room,The Disappointments Room,0,2016,\N,91,"Drama,Horror,Thriller",3.9,11103
tt2364997,movie,Zombies Vs. Strippers,Zombies Vs. Strippers,0,2012,\N,75,"Comedy,Horror",3.5,911
tt2365007,movie,The Fog of War,The Fog of War,0,2011,\N,83,"Horror,Thriller,War",6.8,22
tt2366043,movie,Zomboobies!,Zomboobies!,0,2014,\N,90,"Comedy,Horror",6.5,71
tt23665032,movie,Cursed Land. Fate,Proklyatiye. Mertvaya zemlya,0,2022,\N,85,"Drama,Horror",5.2,36
tt2366806,movie,The Day of the Living Dead,Lazarus: Apocalypse,0,2014,\N,90,"Crime,Horror,Mystery",2.3,1915
tt2366950,movie,The Darkness and Tom Markos,The Darkness and Tom Markos,0,2012,\N,53,"Comedy,Horror",4.5,36
